dataset,name,n,budget,cap_fraction,peak_cap,method,selected_policy,solver_mode,checkpoint_candidates,selected_checkpoint_nodes,evaluated_subsets,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,lut_nodes,lut_edges,selected_k,exact_over_checkpoint_candidates,official_ros_fully_reproduced,error
n14,anf_n14_0,14,keep100,1.0,17,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,exact_exhaustive,2,16,4,648,1147,1163,515,16,17,31,750.475,16.0,17.0,5,True,False,
n14,anf_n14_0,14,line75,0.75,12,external_ros_lut_checkpoint_opt_line75,fanout_checkpoint,exact_exhaustive,2,2,4,1976,3491,3549,1573,3,10,18,2204.605,16.0,17.0,5,True,False,
n14,anf_n14_0,14,line50,0.5,8,external_ros_lut_checkpoint_opt_line50,zero_checkpoint,exact_exhaustive,2,0,4,2216,4031,4119,1903,1,8,16,2474.055,16.0,17.0,5,True,False,
n14,anf_n14_0,14,minline,0.0,8.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,exact_exhaustive,2,0,4,2216,4031,4119,1903,1,8,16,2474.055,16.0,17.0,5,True,False,
n14,anf_n14_1,14,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,64,111,115,51,3,4,18,78.675,3.0,2.0,4,True,False,
n14,anf_n14_1,14,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,64,111,115,51,3,4,18,78.675,3.0,2.0,4,True,False,
n14,anf_n14_14,14,keep100,1.0,89,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,exact_exhaustive,8,88,256,1432,2745,2825,1393,88,89,103,1776.105,88.0,98.0,3,True,False,
n14,anf_n14_14,14,line75,0.75,66,external_ros_lut_checkpoint_opt_line75,fanout_checkpoint,exact_exhaustive,8,8,256,28816,57021,58791,29975,9,21,24,32320.455,88.0,98.0,3,True,False,
n14,anf_n14_14,14,line50,0.5,44,external_ros_lut_checkpoint_opt_line50,fanout_checkpoint,exact_exhaustive,8,8,256,28816,57021,58791,29975,9,21,24,32320.455,88.0,98.0,3,True,False,
n14,anf_n14_14,14,line25,0.25,22,external_ros_lut_checkpoint_opt_line25,fanout_checkpoint,exact_exhaustive,8,8,256,28816,57021,58791,29975,9,21,24,32320.455,88.0,98.0,3,True,False,
n14,anf_n14_14,14,minline,0.0,17.0,external_ros_lut_checkpoint_opt_minline,checkpoint_subset,exact_exhaustive,8,3,256,44088,88709,91115,47027,4,17,19,49507.354999999996,88.0,98.0,3,True,False,
n14,anf_n14_15,14,keep100,1.0,1,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,16,19.724999999999998,1.0,0.0,5,True,False,
n14,anf_n14_15,14,line75,0.75,1,external_ros_lut_checkpoint_opt_line75,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,16,19.724999999999998,1.0,0.0,5,True,False,
n14,anf_n14_15,14,line50,0.5,1,external_ros_lut_checkpoint_opt_line50,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,16,19.724999999999998,1.0,0.0,5,True,False,
n14,anf_n14_15,14,line25,0.25,1,external_ros_lut_checkpoint_opt_line25,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,16,19.724999999999998,1.0,0.0,5,True,False,
n14,anf_n14_15,14,minline,0.0,1.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,16,19.724999999999998,1.0,0.0,5,True,False,
n14,anf_n14_21,14,keep100,1.0,35,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,34,0,744,1361,1379,635,34,35,49,895.475,34.0,33.0,4,True,False,
n14,anf_n14_21,14,line75,0.75,26,external_ros_lut_checkpoint_opt_line75,zero_checkpoint,trivial_no_fanout,0,0,0,6640,12379,12637,5997,1,10,16,7404.685,34.0,33.0,4,True,False,
n14,anf_n14_21,14,line50,0.5,17,external_ros_lut_checkpoint_opt_line50,zero_checkpoint,trivial_no_fanout,0,0,0,6640,12379,12637,5997,1,10,16,7404.685,34.0,33.0,4,True,False,
n14,anf_n14_21,14,minline,0.0,10.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,trivial_no_fanout,0,0,0,6640,12379,12637,5997,1,10,16,7404.685,34.0,33.0,4,True,False,
n14,anf_n14_25,14,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,80,147,151,71,3,4,18,96.85499999999999,3.0,2.0,5,True,False,
n14,anf_n14_25,14,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,80,147,151,71,3,4,18,96.85499999999999,3.0,2.0,5,True,False,
n14,anf_n14_26,14,keep100,1.0,5,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,4,0,88,161,165,77,4,5,19,107.68499999999999,4.0,3.0,5,True,False,
n14,anf_n14_26,14,minline,0.0,5.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,4,0,88,161,165,77,4,5,19,107.68499999999999,4.0,3.0,5,True,False,
n14,anf_n14_27,14,keep100,1.0,40,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,exact_exhaustive,2,38,4,1392,2507,2541,1149,38,40,53,1621.885,38.0,43.0,5,True,False,
n14,anf_n14_27,14,line75,0.75,30,external_ros_lut_checkpoint_opt_line75,fanout_checkpoint,exact_exhaustive,2,2,4,7552,14547,14865,7313,3,12,18,8453.984999999999,38.0,43.0,5,True,False,
n14,anf_n14_27,14,line50,0.5,20,external_ros_lut_checkpoint_opt_line50,fanout_checkpoint,exact_exhaustive,2,2,4,7552,14547,14865,7313,3,12,18,8453.984999999999,38.0,43.0,5,True,False,
