item,audit_status,coverage_status,official_requirement,current_coverage,evidence,supported_claim,excluded_claim,next_reproduction_step
ROS literature and task anchor,pass,covered,The paper must cite ROS and identify its resource-constrained LUT-oracle role before using a ROS-style baseline.,The manuscript and bibliography cite ROS and frame the current study as logical-layer Boolean-oracle synthesis.,files_missing=none; tokens=4/4; missing_tokens=none,ROS is a relevant resource-constrained oracle-synthesis comparator family.,This citation anchor alone does not reproduce the ROS implementation.,No immediate action; keep the literature anchor when venue formatting changes.
Official ROS source-discovery and local implementation boundary,pass,not reproduced,A full official ROS reproduction requires an executable ROS implementation or enough published implementation artifacts to recreate the LUT mapper plus SAT garbage-management flow.,The package records that the accessible public artifacts used here are the ROS paper and the STG benchmark table; no official ROS implementation directory is present in the local reproducibility tree.,files_missing=none; tokens=4/4; missing_tokens=none; absent_paths=tmp_ros_dir=tmp/ros exists=False; tmp_ros_named_dir=tmp/resource_constrained_oracle_synthesis exists=False; project_ros_tool_dir=tools/ros exists=False; project_official_ros_dir=official_ros exists=False,The package documents a concrete source-availability boundary before using ROS-style proxy rows.,The current package cannot claim that an official ROS executable or source tree was run.,"If an official ROS source tree or binary is obtained, place it under a tracked provenance path or an ignored tmp path and add a dedicated driver before promoting any full-ROS claim."
caterpillar/XAG source-family probe,pass,partial,Related open-source synthesis libraries should be separated from the standalone ROS flow unless they expose the same LUT plus SAT garbage-management compiler path.,"The workstation has a local caterpillar checkout, API/build provenance, and a toy AIG compile/run smoke for logic-network synthesis and SAT/pebbling-related components; no standalone ROS executable is detected in that checkout.",files_missing=none; tokens=6/6; missing_tokens=none; csv=results/summary_caterpillar_ros_family_probe.csv rows=8/8; json=results/manifest_caterpillar_ros_family_probe.json::rows=8; results/manifest_caterpillar_ros_family_probe.json::needs_revision_count=0; results/manifest_caterpillar_ros_family_probe.json::compile_smoke_passed=True; results/manifest_caterpillar_ros_family_probe.json::standalone_cli_detected=False; results/manifest_caterpillar_ros_family_probe.json::official_ros_fully_reproduced=False,The package now records a closer open-source implementation-family probe for XAG synthesis and quantum memory-management components.,caterpillar availability and the source-only toy smoke are not a full ROS SAT garbage-management reproduction; performance rows are handled only by the separate Caterpillar XAG API probe.,"If a stable caterpillar CLI or project adapter is added, keep it separate from both the source-family audit and the ROS-style proxy rows."
Caterpillar XAG API performance probe,pass,partial,A related implementation-family baseline should be row-level verified and kept separate from full ROS unless it implements the ROS LUT plus SAT garbage-management flow.,"The package compiles a local Caterpillar API adapter, converts the 177 traditional n<=6 truth tables to ANF-XAG inputs, runs three XAG strategies, and verifies 531 emitted rows through Caterpillar's circuit-to-logic-network path.","files_missing=none; tokens=5/5; missing_tokens=none; csv=results/raw_caterpillar_xag_api_probe.csv rows=531/531, incorrect=0; results/raw_caterpillar_xag_api_best.csv rows=177/177, incorrect=0; results/summary_caterpillar_xag_api_probe.csv rows=4/4; json=results/manifest_caterpillar_xag_api_probe.json::raw_rows=531; results/manifest_caterpillar_xag_api_probe.json::best_raw_rows=177; results/manifest_caterpillar_xag_api_probe.json::correct_rows=531; results/manifest_caterpillar_xag_api_probe.json::needs_revision_count=0; results/manifest_caterpillar_xag_api_probe.json::official_ros_fully_reproduced=False; results/manifest_caterpillar_xag_api_probe.json::caterpillar_is_performance_baseline=True","The paper can report a bounded, verified Caterpillar API performance counterpoint on the traditional slice.","The API rows are ANF-XAG Caterpillar runs, not the official ROS LUT mapper, SAT garbage-management optimizer, reversible-emission flow, or hardware-mapped result.","If an official ROS implementation becomes available, add a separate full-ROS driver rather than relabeling Caterpillar API rows."
Verified LUT K-sweep proxy,pass,partial,ROS uses LUT-network decomposition as part of an oracle-synthesis flow.,"The project runs an ABC if -K sweep for K=3,4,5, verifies each mapped BLIF truth table, and selects the best K per function.","files_missing=none; tokens=4/4; missing_tokens=none; csv=results/raw_ros_lut_proxy_sweep.csv rows=927/927, incorrect=0; results/raw_ros_lut_proxy_best.csv rows=309/309, incorrect=0; json=results/manifest_ros_lut_proxy.json::sweep_rows=927; results/manifest_ros_lut_proxy.json::best_rows=309",The paper can report a verified ROS-style LUT proxy and best-K pressure test.,The proxy is not the official ROS mapper or reversible implementation flow.,Replace or supplement ABC if -K with an official ROS-compatible mapper if one becomes available.
Line and garbage-pressure sensitivity,pass,partial,ROS explicitly targets qubit/garbage pressure through resource-aware choices.,The line-sensitivity audit reselects the verified LUT sweep under min-ancilla and line-weighted objectives.,"files_missing=none; tokens=4/4; missing_tokens=none; csv=results/raw_ros_lut_line_sensitivity.csv rows=1236/1236, incorrect=0; json=results/manifest_ros_lut_line_sensitivity.json::selected_rows=1236",The score advantage is robust to line-aware LUT proxy selectors.,This is not SAT garbage management and cannot be called a full ROS reproduction.,Implement or obtain the ROS SAT garbage-management stage before making any official-ROS claim.
Executable LUT garbage-management proxy,pass,partial,Full ROS uses a dedicated SAT garbage-management stage to trade lines against operations after LUT decomposition.,"The project re-runs and truth-table verifies the same best-K LUT DAGs and compares keep-all, fanout-checkpoint, and zero-checkpoint recomputation schedules.","files_missing=none; tokens=4/4; missing_tokens=none; csv=results/raw_ros_lut_garbage_proxy.csv rows=927/927, incorrect=0; json=results/manifest_ros_lut_garbage_proxy.json::raw_rows=927; results/manifest_ros_lut_garbage_proxy.json::needs_revision_count=0; results/manifest_ros_lut_garbage_proxy.json::official_ros_fully_reproduced=False",The paper can report an executable garbage-pressure proxy showing the line-operation trade-off over verified LUT DAGs.,This is still not the official ROS SAT garbage-management algorithm or a reproduced full ROS compiler flow.,Replace the proxy with the official SAT garbage-management formulation if executable ROS artifacts or a faithful reimplementation become available.
Executable LUT garbage budget frontier,pass,partial,"A ROS-facing garbage-management comparison should expose line/operation trade-offs across feasible auxiliary-line budgets, not just isolated schedules.","The budget-frontier audit selects the lowest-score feasible schedule among keep-all, fanout-checkpoint, and zero-checkpoint policies under keep100, line75, line50, line25, and minline peak-ancilla budgets.",files_missing=none; tokens=5/5; missing_tokens=none; csv=results/raw_ros_lut_garbage_budget_frontier.csv rows=1059/1059; json=results/manifest_ros_lut_garbage_budget_frontier.json::raw_rows=1059; results/manifest_ros_lut_garbage_budget_frontier.json::frontier_rows=5; results/manifest_ros_lut_garbage_budget_frontier.json::functions=309; results/manifest_ros_lut_garbage_budget_frontier.json::official_ros_fully_reproduced=False,The paper can report a budgeted LUT garbage-pressure frontier over verified DAGs.,"This frontier is not an official ROS SAT optimization, reversible-emission, routing, or hardware-mapped result.",Replace the schedule portfolio with the official SAT garbage-management optimizer if executable ROS artifacts or a faithful reimplementation become available.
Exact LUT checkpoint-subset optimizer,pass,partial,A stronger ROS-facing garbage-management proxy should optimize checkpoint choices rather than only compare a few hand-written schedules.,"The checkpoint optimizer exhaustively enumerates every checkpoint subset for verified LUT DAGs with at most 12 multi-fanout candidates, covering all 177 traditional n<=6 functions and 192 DAGs total.",files_missing=none; tokens=5/5; missing_tokens=none; csv=results/raw_ros_lut_checkpoint_optimizer.csv rows=474/474; json=results/manifest_ros_lut_checkpoint_optimizer.json::raw_rows=474; results/manifest_ros_lut_checkpoint_optimizer.json::frontier_rows=5; results/manifest_ros_lut_checkpoint_optimizer.json::solved_functions=192; results/manifest_ros_lut_checkpoint_optimizer.json::solved_traditional_n_le_6=177; results/manifest_ros_lut_checkpoint_optimizer.json::exact_over_checkpoint_candidates=True; results/manifest_ros_lut_checkpoint_optimizer.json::official_ros_fully_reproduced=False,The paper can report an exact ROS-style checkpoint-subset subproblem on the tractable traditional slice.,This exact subproblem is not the full ROS SAT garbage-management algorithm and does not solve the large fanout-heavy DAGs exactly.,Extend the checkpoint optimizer with a scalable SAT/ILP formulation or obtain official ROS artifacts before promoting a full-ROS claim.
Published STG optimum-library counterpoint,pass,covered,"The related STG benchmark reports precomputed 4- and 5-input spectral-representative circuit optima, not a full ROS execution path.",The project synthesizes the same 54 public truth-table representatives and reports both the negative STG-optimum boundary and the same-slice direct-baseline gains.,"files_missing=none; tokens=4/4; missing_tokens=none; csv=results/raw_stg_published_benchmark.csv rows=270/270, incorrect=0; json=results/manifest_stg_published_benchmark.json::raw_rows=270; results/manifest_stg_published_benchmark.json::needs_revision_count=0",The paper includes a published small-function optimum-library counterpoint and does not hide that STG wins on tiny precomputed representatives.,This is not a reproduced ROS SAT garbage-management flow and does not replace scalable logical-layer comparisons.,Keep this counterpoint separate from ROS-style LUT and RevKit rows; add full ROS only if executable artifacts or a faithful SAT-garbage implementation are available.
