target,baseline,metric,items,wins,losses,ties,mean_relative
and_resource_nmcts,external_ros_lut_k4_line_cap,T,309,306,0,3,-0.8461363982664113
and_resource_nmcts,external_ros_lut_k4_line_cap,CNOT,309,309,0,0,-0.8223365736944641
and_resource_nmcts,external_ros_lut_k4_line_cap,depth,309,309,0,0,-0.8114425260790041
and_resource_nmcts,external_ros_lut_k4_line_cap,peak_ancilla,309,308,0,1,-0.724096021400408
and_resource_nmcts,external_ros_lut_k4_line_cap,score,309,309,0,0,-0.8453950884439557
and_resource_nmcts,external_ros_lut_line_w10,T,309,306,0,3,-0.8395596536258855
and_resource_nmcts,external_ros_lut_line_w10,CNOT,309,309,0,0,-0.8163302527949843
and_resource_nmcts,external_ros_lut_line_w10,depth,309,309,0,0,-0.8052166647484732
and_resource_nmcts,external_ros_lut_line_w10,peak_ancilla,309,308,0,1,-0.7278929369288067
and_resource_nmcts,external_ros_lut_line_w10,score,309,309,0,0,-0.8395928206502155
and_resource_nmcts,external_ros_lut_line_w25,T,309,306,0,3,-0.8435069093073156
and_resource_nmcts,external_ros_lut_line_w25,CNOT,309,309,0,0,-0.8195196865846878
and_resource_nmcts,external_ros_lut_line_w25,depth,309,309,0,0,-0.8083269449398319
and_resource_nmcts,external_ros_lut_line_w25,peak_ancilla,309,308,0,1,-0.712201947655912
and_resource_nmcts,external_ros_lut_line_w25,score,309,309,0,0,-0.8427941467196289
and_resource_nmcts,external_ros_lut_min_ancilla,T,309,306,0,3,-0.8556974454235381
and_resource_nmcts,external_ros_lut_min_ancilla,CNOT,309,309,0,0,-0.8313848556246454
and_resource_nmcts,external_ros_lut_min_ancilla,depth,309,309,0,0,-0.8203687055225363
and_resource_nmcts,external_ros_lut_min_ancilla,peak_ancilla,309,308,0,1,-0.6954190952259093
and_resource_nmcts,external_ros_lut_min_ancilla,score,309,309,0,0,-0.8541074331630695
and_pareto_resource_nmcts,external_ros_lut_k4_line_cap,T,309,306,0,3,-0.8515117531115203
and_pareto_resource_nmcts,external_ros_lut_k4_line_cap,CNOT,309,309,0,0,-0.8288527419236235
and_pareto_resource_nmcts,external_ros_lut_k4_line_cap,depth,309,309,0,0,-0.8173798291309544
and_pareto_resource_nmcts,external_ros_lut_k4_line_cap,peak_ancilla,309,303,0,6,-0.7134153865858421
and_pareto_resource_nmcts,external_ros_lut_k4_line_cap,score,309,309,0,0,-0.8502083384262764
and_pareto_resource_nmcts,external_ros_lut_line_w10,T,309,306,0,3,-0.8451049767992335
and_pareto_resource_nmcts,external_ros_lut_line_w10,CNOT,309,309,0,0,-0.8229832468422331
and_pareto_resource_nmcts,external_ros_lut_line_w10,depth,309,309,0,0,-0.8112737310125595
and_pareto_resource_nmcts,external_ros_lut_line_w10,peak_ancilla,309,303,0,6,-0.7170289850998608
and_pareto_resource_nmcts,external_ros_lut_line_w10,score,309,309,0,0,-0.8445250547770656
and_pareto_resource_nmcts,external_ros_lut_line_w25,T,309,306,0,3,-0.8487532178758849
and_pareto_resource_nmcts,external_ros_lut_line_w25,CNOT,309,309,0,0,-0.8259391808245156
and_pareto_resource_nmcts,external_ros_lut_line_w25,depth,309,309,0,0,-0.8141836271639864
and_pareto_resource_nmcts,external_ros_lut_line_w25,peak_ancilla,309,303,0,6,-0.7006018595772888
and_pareto_resource_nmcts,external_ros_lut_line_w25,score,309,309,0,0,-0.8475154895780448
and_pareto_resource_nmcts,external_ros_lut_min_ancilla,T,309,306,0,3,-0.8602991710571269
and_pareto_resource_nmcts,external_ros_lut_min_ancilla,CNOT,309,309,0,0,-0.8371518637498412
and_pareto_resource_nmcts,external_ros_lut_min_ancilla,depth,309,309,0,0,-0.8256432967747901
and_pareto_resource_nmcts,external_ros_lut_min_ancilla,peak_ancilla,309,301,0,8,-0.6820954186795707
and_pareto_resource_nmcts,external_ros_lut_min_ancilla,score,309,309,0,0,-0.8582933539534927
and_direct_anf,external_ros_lut_k4_line_cap,T,309,305,1,3,-0.6816479167547573
and_direct_anf,external_ros_lut_k4_line_cap,CNOT,309,308,1,0,-0.6956755526532653
and_direct_anf,external_ros_lut_k4_line_cap,depth,309,308,1,0,-0.6971554175675669
and_direct_anf,external_ros_lut_k4_line_cap,peak_ancilla,309,309,0,0,-0.7037825996933252
and_direct_anf,external_ros_lut_k4_line_cap,score,309,308,1,0,-0.6925064581606536
and_direct_anf,external_ros_lut_line_w10,T,309,302,2,5,-0.6647727570351775
and_direct_anf,external_ros_lut_line_w10,CNOT,309,307,2,0,-0.6829698525968927
and_direct_anf,external_ros_lut_line_w10,depth,309,307,2,0,-0.6852875762169681
and_direct_anf,external_ros_lut_line_w10,peak_ancilla,309,309,0,0,-0.706643567219868
and_direct_anf,external_ros_lut_line_w10,score,309,307,2,0,-0.6790012018618823
and_direct_anf,external_ros_lut_line_w25,T,309,302,2,5,-0.6742799777386015
and_direct_anf,external_ros_lut_line_w25,CNOT,309,307,2,0,-0.6892504522610564
and_direct_anf,external_ros_lut_line_w25,depth,309,307,2,0,-0.6911199027649622
and_direct_anf,external_ros_lut_line_w25,peak_ancilla,309,309,0,0,-0.6892570819421747
and_direct_anf,external_ros_lut_line_w25,score,309,307,2,0,-0.686224131373121
and_direct_anf,external_ros_lut_min_ancilla,T,309,306,0,3,-0.7043520404813262
and_direct_anf,external_ros_lut_min_ancilla,CNOT,309,309,0,0,-0.7131012442759358
and_direct_anf,external_ros_lut_min_ancilla,depth,309,309,0,0,-0.7137273816954229
