dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,abc_lut_nodes,abc_lut_max_fanin,abc_script,source_manifest,skipped,error,abc_binary
n14,0,anf_n14_0,anf_n14_0,14,11,external_ros_lut_k3,3,928,1739,1787,859,47,48,62,1128.955,True,0.8120911121368408,47,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,0,anf_n14_0,anf_n14_0,14,11,external_ros_lut_k4,4,760,1351,1367,607,23,25,38,890.615,True,0.948397159576416,23,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,0,anf_n14_0,anf_n14_0,14,11,external_ros_lut_k5,5,648,1147,1163,515,16,17,31,750.475,True,0.7633068561553955,16,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,1,anf_n14_1,anf_n14_1,14,3,external_ros_lut_k3,3,232,427,437,205,11,12,26,281.685,True,0.8124871253967285,11,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,1,anf_n14_1,anf_n14_1,14,3,external_ros_lut_k4,4,64,111,115,51,3,4,18,78.675,True,0.7057180404663086,3,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,1,anf_n14_1,anf_n14_1,14,3,external_ros_lut_k5,5,64,111,115,51,3,4,18,78.675,True,0.7693140506744385,3,4,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,10,anf_n14_10,anf_n14_10,14,985,external_ros_lut_k3,3,151792,269933,273763,121971,6700,6701,6715,181317.475,True,0.26872897148132324,6700,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,10,anf_n14_10,anf_n14_10,14,985,external_ros_lut_k4,4,220240,374157,377353,157113,4328,4330,4343,251097.70500000002,True,0.28389596939086914,4328,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,10,anf_n14_10,anf_n14_10,14,985,external_ros_lut_k5,5,313816,517209,519555,205739,2938,2941,2953,350237.075,True,0.31714415550231934,2938,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,11,anf_n14_11,anf_n14_11,14,267,external_ros_lut_k3,3,142600,253419,256935,114335,6343,6344,6358,170422.135,True,0.2546422481536865,6343,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,11,anf_n14_11,anf_n14_11,14,267,external_ros_lut_k4,4,207424,352297,355329,147905,4127,4129,4142,236582.865,True,0.27552103996276855,4127,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,11,anf_n14_11,anf_n14_11,14,267,external_ros_lut_k5,5,282432,466139,468441,186009,2844,2847,2859,315658.265,True,0.3089141845703125,2844,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,12,anf_n14_12,anf_n14_12,14,246,external_ros_lut_k3,3,130736,232273,235537,104801,5808,5809,5823,156225.98500000002,True,0.24084091186523438,5808,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,12,anf_n14_12,anf_n14_12,14,246,external_ros_lut_k4,4,187888,318897,321623,133735,3793,3795,3808,214395.575,True,0.2609519958496094,3793,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,12,anf_n14_12,anf_n14_12,14,246,external_ros_lut_k5,5,265744,437811,439921,174177,2626,2629,2641,296855.025,True,0.29848694801330566,2626,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,13,anf_n14_13,anf_n14_13,14,766,external_ros_lut_k3,3,150192,267193,271095,120903,6689,6690,6704,179535.175,True,0.2765040397644043,6689,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,13,anf_n14_13,anf_n14_13,14,766,external_ros_lut_k4,4,216536,368351,371601,155065,4351,4353,4366,247100.705,True,0.28496789932250977,4351,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,13,anf_n14_13,anf_n14_13,14,766,external_ros_lut_k5,5,299016,493729,496117,197101,2928,2931,2943,334039.925,True,0.32934999465942383,2928,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,14,anf_n14_14,anf_n14_14,14,14,external_ros_lut_k3,3,1432,2745,2825,1393,88,89,103,1776.105,True,0.1066279411315918,88,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
