item,status,evidence,next_action
Payload extraction,pass,archive=submission_package/dist/resource_nmcts_submission_payload.tar.gz; extracted_files=942; error=none.,Regenerate the payload archive if it cannot be safely extracted.
Comparison protocol audit,pass,returncode=0; manifest=results/manifest_comparison_protocol_audit.json; needs_revision_count=0; layers=7; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
ROS reproduction gap audit,pass,returncode=0; manifest=results/manifest_ros_reproduction_gap_audit.json; needs_revision_count=0; rows=8; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Schedule-proxy tradeoff audit,pass,returncode=0; manifest=results/manifest_schedule_proxy_audit.json; needs_revision_count=0; rows=8; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Search-budget contract audit,pass,returncode=0; manifest=results/manifest_search_budget_contract.json; needs_revision_count=0; rows=8; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Search-control baseline audit,pass,returncode=0; manifest=results/manifest_search_control_baseline_audit.json; needs_revision_count=0; rows=9; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Bit-flip random-prior control,pass,returncode=0; manifest=results/manifest_bitflip_random_prior_control.json; needs_revision_count=0; rows=18; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Editorial screening audit,pass,returncode=0; manifest=results/manifest_editorial_screening_audit.json; needs_revision_count=0; rows=8; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Submission support packet audit,pass,returncode=0; manifest=results/manifest_submission_support_packet_audit.json; needs_revision_count=0; rows=8; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Headline numeric consistency,pass,returncode=0; manifest=results/manifest_headline_numeric_consistency.json; needs_revision_count=0; claims=15; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Citation support audit,pass,returncode=0; manifest=results/manifest_citation_support_audit.json; needs_revision_count=0; rows=10; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
PDF visual audit,pass,returncode=0; manifest=results/manifest_pdf_visual_audit.json; needs_revision_count=0; rows=2; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
PDF text audit,pass,returncode=0; manifest=results/manifest_pdf_text_audit.json; needs_revision_count=0; rows=2; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
PDF metadata audit,pass,returncode=0; manifest=results/manifest_pdf_metadata_audit.json; needs_revision_count=0; rows=2; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Source path privacy audit,pass,returncode=0; manifest=results/manifest_source_path_privacy_audit.json; needs_revision_count=0; rows=6; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Author-input closure audit,pass,returncode=0; manifest=results/manifest_author_input_closure_audit.json; needs_revision_count=0; rows=7; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Submission metadata closure path,pass,returncode=0; manifest=results/manifest_submission_metadata_closure_path.json; needs_revision_count=0; rows=8; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Claim-scope lint,pass,returncode=0; manifest=results/manifest_claim_scope_lint.json; unresolved_count=0; required_boundary_count=5; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
Artifact rerun registry,pass,returncode=0; manifest=results/manifest_artifact_rerun_registry.json; complete_rows=21; rows=21; stderr=none,Inspect the extracted payload audit output and regenerate the archive if this smoke test fails.
