CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,3.0994415283203125e-05,96
3,0,3,True,3,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,2.384185791015625e-05,96
3,0,3,True,3,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,0.00014591217041015625,96
3,0,3,True,3,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.006108760833740234,96
3,0,3,True,3,0,3,and_rc_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0028328895568847656,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.0002219676971435547,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,1.5020370483398438e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,1.5020370483398438e-05,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,majority_n3,0,13.245,,3,4.7206878662109375e-05,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.0032892227172851562,E8
12,4,3,True,12,0,8,and_rc_nmcts,3,4,majority_n3,0,4.74,,2,0.0035283565521240234,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,3.1948089599609375e-05,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,1.3113021850585938e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,1.3113021850585938e-05,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,threshold2_n3,0,13.245,,3,3.933906555175781e-05,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.0032541751861572266,E8
