baseline_family,task_alignment,fairness_control,residual_risk,usable_claim
Direct algebraic and ESOP baselines,Same bit-flip Boolean oracle target and the same logical resource model.,"Matched n<=6 functions, complete truth-table checks, identical score coefficients, and paired per-function comparisons.","These baselines are representation-level constructions, not mature external compilers.",Primary evidence for lower T-count and weighted score under the paper's own oracle model.
SSHR-H and SSHR-I,"Same small Boolean-function oracle setting, but with a CNOT-oriented parallelotope search objective.",Matched functions and resource extraction; SSHR-I timeout rows are separated from completed rows.,"SSHR is optimized for CNOT structure and small n, so it is a counterpoint rather than the method's design parent.",Resource-NMCTS improves score and T-count while SSHR remains the strongest CNOT reference.
ABC/BDD and exported logic networks,"Same exported Boolean functions, evaluated through logical AIG/XAG/LUT/BDD resource proxies.","Rows with errors, skips, or failed truth-table checks are excluded; paired comparisons use matched names.",Network-level counts are proxies and do not include reversible garbage management or quantum routing.,Mature classical logic optimization does not by itself remove the T/score advantage.
ROS-style LUT and XAG/AIG/API probes,"Same benchmark functions pass through LUT, XAG, AIG, and Caterpillar API probes with export/readback checks where available.","The LUT proxy includes best-K, line-aware reselection, and an executable garbage-budget frontier; mockturtle, CirKit, and Caterpillar use official source/toolchain/API paths and row-level correctness checks.",These are not full ROS SAT garbage-management optimizers or hardware-mapped reversible flows.,"The advantage persists beyond self-written baselines, with CirKit and Caterpillar exposing real CNOT/depth tradeoffs."
Published STG optimum-library counterpoint,The public n=4/5 STG representatives are matched to locally synthesized rows by truth-table hex.,"Published T-count, T-depth, and qubit optima remain separate objectives; local rows are verified on the same truth tables and are not presented as a rerun of the optimum-library solver.",The published optima are precomputed tiny-function references with decomposition assumptions that do not define the paper's larger-n search setting.,This slice is a non-win boundary showing that the paper does not hide stronger tiny-function optimum references.
Legacy RevKit CLI exact-oracle portfolio,"Each function is embedded as the exact reversible permutation (x,y)->(x,y xor f(x)).","TBS, DBS, and RMS are all run and reduced to a per-function best-score portfolio.",CNOT and depth are derived from Toffoli-control distributions; RevKit uses fewer auxiliary lines on most rows.,"A genuine reversible-synthesis probe still favors Resource-NMCTS on T-count and score, but not on line count."
Phase/Rz baselines and learned shortlist,Same Boolean functions are evaluated as phase-oracle or affine-FPRM phase-search instances.,Rows are verified up to global phase; learned shortlists are checked against same-budget random controls and wide exact search.,The branch is a logical Rz/phase proxy and does not output rotation-synthesis sequences.,"The search framing extends to verified phase/Rz proxies, but it is not a finished Clifford+T compiler."
AI/search-control ablations,"Each ablation reuses matched functions and, where causal attribution is claimed, the same candidate pool or search budget.","No-MCTS, beam, MCTS, Pareto, learned-prior, same-budget random-prior, random-depth, held-out, and independent-seed controls are reported with quality and runtime separated.","The controls span several search branches and include small or runtime-negative learned effects, so they do not identify one universal deep-RL effect.","The controls support bounded attribution to MCTS, Pareto selection, learned ranking, and budget allocation rather than to representation alone."
High-dimensional symbolic and bridge checks,Large term-set instances and n=21--30 bridge functions test the same emitted logical oracle semantics.,Symbolic ANF/circuit checks cover all reported high-dimensional rows; bridge slices add complete truth-table checks.,Complete truth-table enumeration is limited to bridge slices and generated functions.,"The large-scale evidence supports semantic correctness and scaling of the logical search, not exhaustive high-dimensional optimality."
Trade-off and resource-sensitivity audits,Matched verified functions are compared through the same logical resource vectors before any weighted score is interpreted.,"Four-resource dominance excludes the weighted score, and coefficient sweeps recompute every matched method pair under the same declared resource profile.","All resources remain logical-layer proxies before routing, native-gate mapping, noise, and fault-tolerant factory costs.","The method occupies a strong T-count and weighted-score region with explicit CNOT, depth, ancilla, and coefficient-sensitivity counterpoints."
