key,status,primary_source,verified_scope,boundary,evidence,next_action
tsaras2024shortcircuit,pass,arXiv:2408.09858,AlphaZero-style classical Boolean/AIG circuit design,motivation only; not quantum Boolean-oracle ANF/FPRM resource synthesis,missing=none; locator_tokens=2408.09858.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
wang2023nestedmcts,pass,IEEE TQE / arXiv:2207.00132,nested MCTS for automated quantum ansatz/circuit design,adjacent MCTS design evidence; not Boolean-oracle term/factor search,"missing=none; locator_tokens=10.1109/TQE.2023.3265709,2207.00132.","Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
weiden2023qseed,pass,IEEE QCE / arXiv:2306.05622,learned seeding for unitary/circuit synthesis,unitary synthesis motivation; not logical Boolean-oracle benchmarking,"missing=none; locator_tokens=10.1109/QCE57702.2023.00093,2306.05622.","Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
furrutter2024diffusion,pass,Nature Machine Intelligence / arXiv:2311.02041,diffusion-model circuit generation and unitary compilation,generative circuit model; not verified Boolean-algebraic oracle search,"missing=none; locator_tokens=10.1038/s42256-024-00831-9,2311.02041.","Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
rietsch2024unitary,pass,IEEE QCE / arXiv:2404.14865,Gumbel AlphaZero for exact Clifford+T unitary synthesis,gate-by-gate unitary synthesis; not Boolean-function oracle synthesis,"missing=none; locator_tokens=10.1109/QCE60285.2024.00102,2404.14865.","Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
valcarce2025dynamic,pass,arXiv:2508.21217,AlphaZero-inspired exact unitary synthesis with dynamic-circuit variants,discrete unitary subroutine synthesis; not Boolean-oracle resource search,missing=none; locator_tokens=2508.21217.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
kremer2025nonclifford,pass,arXiv:2509.21709,RL optimization of T/CS count for exactly implementable unitaries,non-Clifford unitary objective; not multi-resource Boolean oracle synthesis,missing=none; locator_tokens=2509.21709.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
dubal2025paulinetwork,pass,arXiv:2503.14448,RL resynthesis of Pauli-network blocks and transpiler passes,block resynthesis after circuits exist; not synthesis from Boolean functions,missing=none; locator_tokens=2503.14448.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
riu2025rlzx,pass,"Quantum 9, 1758",RL-guided ZX-calculus circuit optimization,ZX graph rewrite optimization; not ANF/FPRM oracle construction,missing=none; locator_tokens=10.22331/q-2025-05-28-1758.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
theissinger2026beyondrl,pass,arXiv:2602.15146,supervised residual-unitary estimates with stochastic beam search,generic residual unitary synthesis; not Boolean-oracle logical-resource search,missing=none; locator_tokens=2602.15146.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
zhou2022qctmcts,pass,ACM TODAES 27(6),MCTS for quantum circuit transformation under connectivity constraints,hardware/connectivity transformation; explicitly outside this logical-layer scope,missing=none; locator_tokens=10.1145/3514239.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
machiya2026monteq,pass,arXiv:2604.19029,MCTS scheduling framework for Hamiltonian-simulation Pauli rotations,Hamiltonian-simulation scheduling; not Boolean-oracle term synthesis,missing=none; locator_tokens=2604.19029.,"Correct the BibTeX locator, related-work citation, or manuscript scope/boundary wording."
learning_scope_boundary,pass,manuscript boundary text,global related-work boundary for learning-guided synthesis,keeps AI/MCTS citations as adjacent work unless they share Boolean-oracle ANF/FPRM synthesis scope,missing_boundary_tokens=none.,Restore the learning-guided synthesis boundary paragraph in the related-work section.
