source_file,reference,resolved_path,status,candidate_paths,role
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_comparison_answer_scorecard.md,results/analysis_comparison_answer_scorecard.md,pass,results/analysis_comparison_answer_scorecard.md; submission_package/analysis_comparison_answer_scorecard.md; analysis_comparison_answer_scorecard.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_comparison_target_validity_audit.md,results/analysis_comparison_target_validity_audit.md,pass,results/analysis_comparison_target_validity_audit.md; submission_package/analysis_comparison_target_validity_audit.md; analysis_comparison_target_validity_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_baseline_claim_matrix.md,results/analysis_baseline_claim_matrix.md,pass,results/analysis_baseline_claim_matrix.md; submission_package/analysis_baseline_claim_matrix.md; analysis_baseline_claim_matrix.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_comparison_evidence_matrix.md,results/analysis_comparison_evidence_matrix.md,pass,results/analysis_comparison_evidence_matrix.md; submission_package/analysis_comparison_evidence_matrix.md; analysis_comparison_evidence_matrix.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_baseline_comparability_audit.md,results/analysis_baseline_comparability_audit.md,pass,results/analysis_baseline_comparability_audit.md; submission_package/analysis_baseline_comparability_audit.md; analysis_baseline_comparability_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_counterpoint_claim_boundary.md,results/analysis_counterpoint_claim_boundary.md,pass,results/analysis_counterpoint_claim_boundary.md; submission_package/analysis_counterpoint_claim_boundary.md; analysis_counterpoint_claim_boundary.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_neural_mcts_claim_calibration.md,results/analysis_neural_mcts_claim_calibration.md,pass,results/analysis_neural_mcts_claim_calibration.md; submission_package/analysis_neural_mcts_claim_calibration.md; analysis_neural_mcts_claim_calibration.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,results/analysis_claim_scope_lint.md,results/analysis_claim_scope_lint.md,pass,results/analysis_claim_scope_lint.md; submission_package/analysis_claim_scope_lint.md; analysis_claim_scope_lint.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,submission_package/editor_screening_brief.md,submission_package/editor_screening_brief.md,pass,submission_package/editor_screening_brief.md; results/editor_screening_brief.md; editor_screening_brief.md,comparison evidence entrypoint
submission_package/COMPARISON_HANDOFF_zh.md,submission_package/reviewer_concern_brief.md,submission_package/reviewer_concern_brief.md,pass,submission_package/reviewer_concern_brief.md; results/reviewer_concern_brief.md; reviewer_concern_brief.md,comparison evidence entrypoint
