comparison_key,comparison,role,profile,profile_label,name,n,target_method,baseline_method,target_weighted_score,baseline_weighted_score,relative_pct,target_T,baseline_T,target_CNOT,baseline_CNOT,target_depth,baseline_depth,target_peak_ancilla,baseline_peak_ancilla,boundary
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,adder_carry_w2,4,and_pareto_resource_nmcts,direct_anf,17.630000,39.900000,-55.814536,12,36,25,34,30,34,2,1,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,adder_carry_w3,6,and_pareto_resource_nmcts,direct_anf,39.395000,138.140000,-71.481830,28,132,55,74,59,74,4,1,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,majority_n3,3,and_pareto_resource_nmcts,direct_anf,4.740000,13.020000,-63.594470,4,12,12,18,12,18,0,0,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,majority_n4,4,and_pareto_resource_nmcts,direct_anf,31.150000,93.680000,-66.748506,24,88,49,66,58,66,2,1,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,majority_n5,5,and_pareto_resource_nmcts,direct_anf,40.190000,292.600000,-86.264525,32,280,70,190,70,190,2,1,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,majority_n6,6,and_pareto_resource_nmcts,direct_anf,108.115000,370.400000,-70.811285,92,360,171,150,171,150,3,1,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,mul_w2_bit1,4,and_pareto_resource_nmcts,direct_anf,8.830000,8.680000,1.728111,8,8,14,12,14,12,0,0,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,mul_w3_bit2,6,and_pareto_resource_nmcts,direct_anf,26.250000,39.580000,-33.678626,20,36,38,28,38,28,2,1,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,mux_2_4,6,and_pareto_resource_nmcts,direct_anf,38.035000,86.545000,-56.051765,32,80,65,81,71,81,1,1,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,parity_n3,3,and_pareto_resource_nmcts,direct_anf,0.195000,0.195000,0.000000,0,0,3,3,3,3,0,0,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,parity_n4,4,and_pareto_resource_nmcts,direct_anf,0.260000,0.260000,0.000000,0,0,4,4,4,4,0,0,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,parity_n5,5,and_pareto_resource_nmcts,direct_anf,0.325000,0.325000,0.000000,0,0,5,5,5,5,0,0,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,parity_n6,6,and_pareto_resource_nmcts,direct_anf,0.390000,0.390000,0.000000,0,0,6,6,6,6,0,0,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,threshold2_n3,3,and_pareto_resource_nmcts,direct_anf,4.740000,13.020000,-63.594470,4,12,12,18,12,18,0,0,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
