dataset,name,n,method,selection_objective,selected_k,T,CNOT,depth,gates,peak_ancilla,score,line_score,correct,candidate_ks,abc_binary,abc_lut_max_fanin,abc_lut_nodes,abc_script,anf_terms,error,explicit_ancilla,index,n_qubits,preset_name,skipped,source_manifest,time_s
n14,anf_n14_0,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,648,1147,1163,515,17,750.475,750.475,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,16,strash; if -K 5,11,,16,0,31,anf_n14_0,,benchmark_exports/highdim_resource_external_seed42,0.7633068561553955
n14,anf_n14_0,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,5,648,1147,1163,515,17,750.475,750.475,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,16,strash; if -K 5,11,,16,0,31,anf_n14_0,,benchmark_exports/highdim_resource_external_seed42,0.7633068561553955
n14,anf_n14_0,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,5,648,1147,1163,515,17,750.475,886.475,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,16,strash; if -K 5,11,,16,0,31,anf_n14_0,,benchmark_exports/highdim_resource_external_seed42,0.7633068561553955
n14,anf_n14_0,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,5,648,1147,1163,515,17,750.475,1141.475,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,16,strash; if -K 5,11,,16,0,31,anf_n14_0,,benchmark_exports/highdim_resource_external_seed42,0.7633068561553955
n14,anf_n14_1,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,4,64,111,115,51,4,78.675,78.675,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,3,strash; if -K 4,3,,3,1,18,anf_n14_1,,benchmark_exports/highdim_resource_external_seed42,0.7057180404663086
n14,anf_n14_1,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,64,111,115,51,4,78.675,78.675,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,3,strash; if -K 4,3,,3,1,18,anf_n14_1,,benchmark_exports/highdim_resource_external_seed42,0.7057180404663086
n14,anf_n14_1,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,4,64,111,115,51,4,78.675,110.675,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,3,strash; if -K 4,3,,3,1,18,anf_n14_1,,benchmark_exports/highdim_resource_external_seed42,0.7057180404663086
n14,anf_n14_1,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,4,64,111,115,51,4,78.675,170.675,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,3,strash; if -K 4,3,,3,1,18,anf_n14_1,,benchmark_exports/highdim_resource_external_seed42,0.7057180404663086
n14,anf_n14_10,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,313816,517209,519555,205739,2941,350237.075,350237.075,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2938,strash; if -K 5,985,,2938,10,2953,anf_n14_10,,benchmark_exports/highdim_resource_external_seed42,0.31714415550231934
n14,anf_n14_10,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,220240,374157,377353,157113,4330,251097.70500000002,251097.70500000002,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,4328,strash; if -K 4,985,,4328,10,4343,anf_n14_10,,benchmark_exports/highdim_resource_external_seed42,0.28389596939086914
n14,anf_n14_10,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,151792,269933,273763,121971,6701,181317.475,234925.475,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6700,strash; if -K 3,985,,6700,10,6715,anf_n14_10,,benchmark_exports/highdim_resource_external_seed42,0.26872897148132324
n14,anf_n14_10,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,151792,269933,273763,121971,6701,181317.475,335440.475,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6700,strash; if -K 3,985,,6700,10,6715,anf_n14_10,,benchmark_exports/highdim_resource_external_seed42,0.26872897148132324
n14,anf_n14_11,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,282432,466139,468441,186009,2847,315658.265,315658.265,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2844,strash; if -K 5,267,,2844,11,2859,anf_n14_11,,benchmark_exports/highdim_resource_external_seed42,0.3089141845703125
n14,anf_n14_11,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,207424,352297,355329,147905,4129,236582.865,236582.865,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,4127,strash; if -K 4,267,,4127,11,4142,anf_n14_11,,benchmark_exports/highdim_resource_external_seed42,0.27552103996276855
n14,anf_n14_11,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,142600,253419,256935,114335,6344,170422.135,221174.135,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6343,strash; if -K 3,267,,6343,11,6358,anf_n14_11,,benchmark_exports/highdim_resource_external_seed42,0.2546422481536865
n14,anf_n14_11,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,142600,253419,256935,114335,6344,170422.135,316334.135,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6343,strash; if -K 3,267,,6343,11,6358,anf_n14_11,,benchmark_exports/highdim_resource_external_seed42,0.2546422481536865
n14,anf_n14_12,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,265744,437811,439921,174177,2629,296855.025,296855.025,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2626,strash; if -K 5,246,,2626,12,2641,anf_n14_12,,benchmark_exports/highdim_resource_external_seed42,0.29848694801330566
n14,anf_n14_12,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,187888,318897,321623,133735,3795,214395.575,214395.575,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,3793,strash; if -K 4,246,,3793,12,3808,anf_n14_12,,benchmark_exports/highdim_resource_external_seed42,0.2609519958496094
n14,anf_n14_12,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,130736,232273,235537,104801,5809,156225.98500000002,202697.98500000002,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,5808,strash; if -K 3,246,,5808,12,5823,anf_n14_12,,benchmark_exports/highdim_resource_external_seed42,0.24084091186523438
n14,anf_n14_12,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,130736,232273,235537,104801,5809,156225.98500000002,289832.985,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,5808,strash; if -K 3,246,,5808,12,5823,anf_n14_12,,benchmark_exports/highdim_resource_external_seed42,0.24084091186523438
