layer,evidence_source,comparison,scope,pairs,score_wlt,mean_score_change,cost_or_runtime,supported_conclusion,boundary,status
search-space baseline,ablation_affine,Affine greedy vs fixed-coordinate MCTS,321 matched affine pairs,321,165/88/68,-12.12%,not the claimed dimension,Changing the algebraic action space is a major source of score improvement.,This is not a neural-only effect.,pass
deterministic search controls,search_ablation_traditional,No-MCTS portfolio over heuristic-only,177 n<=6 functions,177,54/0/123,-2.51%,not the claimed dimension,A deterministic portfolio improves over a single heuristic baseline.,This row does not isolate MCTS.,pass
deterministic search controls,search_ablation_traditional,No-MCTS portfolio over beam-only,177 n<=6 functions,177,106/1/70,-8.36%,not the claimed dimension,The no-MCTS portfolio is stronger than the beam-only child in the same slice.,"Beam is a child/search baseline, not the full method.",pass
MCTS over deterministic portfolio,search_ablation_traditional,Resource-NMCTS over no-MCTS portfolio,177 n<=6 functions,177,54/0/123,-1.44%,not the claimed dimension,MCTS adds a small but non-degrading score gain over the strengthened no-MCTS portfolio.,"The magnitude is incremental, not the whole resource drop.",pass
Pareto search control,search_ablation_traditional,Pareto Resource-NMCTS over no-MCTS portfolio,177 n<=6 functions,177,106/0/71,-4.69%,not the claimed dimension,The Pareto archive makes the search-control gain clearer than base Resource-NMCTS alone.,Ancilla tradeoffs still need separate reporting.,pass
reinforcement-learned Pareto budget control,disjoint seed-45 contextual-bandit test,Fitted-Q budget policy vs Resource-NMCTS and always-Pareto,160 random truth-table functions; train/validation/test fingerprints disjoint,160,56/0/104 vs Resource,-3.48%,time -13.13%; Pareto calls 71/160,A fitted-Q contextual bandit preserves most Pareto quality gain while reducing expensive search effort over base Resource-NMCTS.,The policy has nonzero regret against always-Pareto and does not dominate its circuit resources on every function.,pass
learned prior,traditional_resource no-prior rerun,Learned prior for Resource-NMCTS,177 n<=6 functions,177,39/0/138,-1.10%,time +55.11%,The learned scorer is a quality signal under the same functions and methods.,It is not a runtime claim and should not be promoted as the main source of improvement.,pass
bit-flip random control,bit-flip same-budget random-prior audit,Learned bit-flip prior vs same-budget random-prior mean,177 n<=6 functions; eight random-prior repeats,177,17/8/152,-0.15%,time +48.05%,The learned scorer beats deterministic random action priors as a bounded quality signal.,The margin is small and runtime-negative; this is not a claim that neural ranking explains the full gain.,pass
bit-flip low-budget control,bit-flip neural budget sweep,Learned prior vs no-prior under compressed candidate/MCTS budgets,2 budgets x 3 methods x 177 n<=6 functions,1062,218/0/844,-1.04%,time +24.22%,The learned prior remains a positive quality signal when candidate and MCTS budgets are tightened.,"The same rows still show runtime overhead, so this is budget-allocation quality evidence rather than a speedup claim.",pass
frontier random-depth control,frontier same-candidate random-depth audit,Large frontier policy vs same-candidate random depth,"96 n=24,28,32,40 scale rows; 6 n=23 truth-bridge rows; eight random-depth repeats",102,55/3/38; 5/0/1,-1.12%,time +58.78%,The large frontier policy allocates depth budget better than random selection among the same verified candidates on scale and bridge slices.,"The control is quality-positive but runtime-negative against random depth; it is not a speed, hardware-scheduling, or global-optimality claim.",pass
high-dimensional deterministic control,search_ablation_highdim,Highdim no-MCTS portfolio over root beam,16 n=14 ANF instances,16,14/0/2,-6.25%,not the claimed dimension,"High-dimensional gains also need strong deterministic guards, not only MCTS.","This is symbolic/high-dimensional evidence, not exhaustive truth-table optimality.",pass
phase budget frontier,phase policy budget-frontier audit,Diverse phase shortlist top-512 vs budget-32 and wide-128,38 held-out n=6 phase functions,38,17/0/21; 0/7/31,-2.477% vs budget-32; +0.003% vs wide-128,512/8192 exact forms; 93.75% fewer vs wide-128,The learned/diverse shortlist preserves the wide-search phase proxy while exact-scoring far fewer candidates.,"This is a logical phase/Rz budget-efficiency result, not a final rotation-synthesis or hardware-mapped claim.",pass
phase random control,phase affine policy random-control audit,Diverse phase shortlist top-512 vs same-budget random mean,38 held-out n=6 phase functions; eight random repeats,38,17/0/21,-0.012%,512/8192 exact forms,The phase shortlist is better than same-budget random controls on this proxy.,"This is a phase/Rz proxy control, not a bit-flip random baseline or rotation synthesis.",pass
