check_type,item,status,file,line,matched_text,evidence,next_action
required_boundary,logical-layer scope,pass,multiple,,logical-layer,Manuscript and support files identify the contribution as logical-layer oracle synthesis.,Keep this boundary visible in the manuscript and submission handoff files.
required_boundary,hardware mapping excluded,pass,multiple,,not a hardware-mapped; does not include hardware mapping; does not claim hardware mapping,"Hardware mapping, routing, scheduling, and noise modeling are explicitly outside scope.",Keep this boundary visible in the manuscript and submission handoff files.
required_boundary,universal dominance excluded,pass,multiple,,"not a hardware-mapped, depth-only, or universal-dominance claim; not universal dominance; Do not claim universal dominance; No claim of universal",The text excludes universal dominance over all resources and baselines.,Keep this boundary visible in the manuscript and submission handoff files.
required_boundary,multi-resource tradeoff reported,pass,multiple,,CNOT; depth; ancilla; tradeoff,"The text keeps CNOT, depth, and ancilla as explicit tradeoff dimensions.",Keep this boundary visible in the manuscript and submission handoff files.
required_boundary,phase/Rz branch bounded,pass,multiple,,phase/Rz; not a final Clifford+T; coarse sequence,"The phase/Rz branch is framed as a logical proxy with only a bounded sequence-smoke audit, not a final Clifford+T compiler.",Keep this boundary visible in the manuscript and submission handoff files.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,69,"plus 700/700 complete \ttable{}-bridge rows for $n=21$--$30$. The contribution is a verified logical-layer search method with strong T-count and weighted-score advantages, not a hardware-mapped, depth-only, or universal-dominance claim. \end{abstract} \section{Introduction} Given a Boolean function $f:\{0,1\}^n\rightarrow\{0,1\}$, a bit-flip oracle implements \begin{eq",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,118,"verification bridges. \paragraph{Scope and assumptions.} The study is intentionally limited to logical-layer Boolean-oracle synthesis. All reported resources are computed before hardware mapping, routing, native-gate scheduling, noise modeling, and magic-state-factory accounting. The weighted score in Eq.~\eqref{eq:score} is used only to rank verified candidates; T-count,",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,118,"ges. \paragraph{Scope and assumptions.} The study is intentionally limited to logical-layer Boolean-oracle synthesis. All reported resources are computed before hardware mapping, routing, native-gate scheduling, noise modeling, and magic-state-factory accounting. The weighted score in Eq.~\eqref{eq:score} is used only to rank verified candidates; T-count, CNOT cou",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,119,"ragraph{Scope and assumptions.} The study is intentionally limited to logical-layer Boolean-oracle synthesis. All reported resources are computed before hardware mapping, routing, native-gate scheduling, noise modeling, and magic-state-factory accounting. The weighted score in Eq.~\eqref{eq:score} is used only to rank verified candidates; T-count, CNOT count, depth, gate count, a",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,119,"tions.} The study is intentionally limited to logical-layer Boolean-oracle synthesis. All reported resources are computed before hardware mapping, routing, native-gate scheduling, noise modeling, and magic-state-factory accounting. The weighted score in Eq.~\eqref{eq:score} is used only to rank verified candidates; T-count, CNOT count, depth, gate count, and peak ancilla",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
