dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,abc_lut_nodes,abc_lut_max_fanin,abc_script,source_manifest,skipped,error,abc_binary,candidate_ks
n14,0,anf_n14_0,anf_n14_0,14,11,external_ros_lut_proxy,5,648,1147,1163,515,16,17,31,750.475,True,0.7633068561553955,16,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,1,anf_n14_1,anf_n14_1,14,3,external_ros_lut_proxy,4,64,111,115,51,3,4,18,78.675,True,0.7057180404663086,3,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,10,anf_n14_10,anf_n14_10,14,985,external_ros_lut_proxy,3,151792,269933,273763,121971,6700,6701,6715,181317.475,True,0.26872897148132324,6700,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,11,anf_n14_11,anf_n14_11,14,267,external_ros_lut_proxy,3,142600,253419,256935,114335,6343,6344,6358,170422.135,True,0.2546422481536865,6343,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,12,anf_n14_12,anf_n14_12,14,246,external_ros_lut_proxy,3,130736,232273,235537,104801,5808,5809,5823,156225.98500000002,True,0.24084091186523438,5808,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,13,anf_n14_13,anf_n14_13,14,766,external_ros_lut_proxy,3,150192,267193,271095,120903,6689,6690,6704,179535.175,True,0.2765040397644043,6689,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,14,anf_n14_14,anf_n14_14,14,14,external_ros_lut_proxy,3,1432,2745,2825,1393,88,89,103,1776.105,True,0.1066279411315918,88,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,15,anf_n14_15,anf_n14_15,14,2,external_ros_lut_proxy,5,16,29,29,13,1,1,16,19.724999999999998,True,0.09459686279296875,1,4,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,16,anf_n14_16,anf_n14_16,14,30,external_ros_lut_proxy,3,39856,71153,72157,32301,1735,1736,1750,47579.48500000001,True,0.13576602935791016,1735,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,17,anf_n14_17,anf_n14_17,14,89,external_ros_lut_proxy,3,107696,191371,194087,86391,4721,4722,4736,128570.055,True,0.20266199111938477,4721,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,18,anf_n14_18,anf_n14_18,14,790,external_ros_lut_proxy,3,152912,272213,276091,123179,6765,6766,6780,182705.675,True,0.2711927890777588,6765,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,19,anf_n14_19,anf_n14_19,14,56,external_ros_lut_proxy,3,92040,163381,165611,73571,4028,4029,4043,109853.115,True,0.18665099143981934,4028,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,2,anf_n14_2,anf_n14_2,14,1010,external_ros_lut_proxy,3,153544,273301,277189,123645,6746,6747,6761,183364.325,True,0.9147758483886719,6746,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
