item,status,evidence,next_action
Payload archive readable,pass,archive=submission_package/dist/resource_nmcts_submission_payload.tar.gz; members=979; error=none.,Regenerate the payload archive if it cannot be opened by Python tarfile.
Payload manifest round-trip,pass,manifest_files=979; archive_files=979; missing=none; extra=none.,Regenerate make_submission_payload_archive.py outputs if manifest and archive contents diverge.
Payload per-file SHA256,pass,checked=979; mismatches=none.,Regenerate the payload archive and manifest if any archived file digest differs from the manifest.
Payload path hygiene,pass,unsafe_paths=none; private_hits=none.,"Remove unsafe, platform-generated, or private files from the payload inputs."
Payload required artifacts,pass,required=12; missing=none.,"Ensure the uploadable archive includes manuscript, bibliography, rebuild/verify scripts, handoff docs, and submission audits."
Payload reviewer entrypoints,pass,reviewer_entries=7; missing=none.,"Ensure the uploadable archive includes reviewer-facing guide, editor/reviewer briefs, venue brief, registry, and reproducibility audit."
Payload comparison protocol evidence,pass,comparison_protocol_files=11; missing=none.,"Ensure the uploadable archive includes the comparison protocol audit plus its claim, evidence, comparability, counterpoint, statistical, and tradeoff sources."
Payload comparison target validity evidence,pass,comparison_target_validity_files=5; missing=none.,"Ensure the uploadable archive includes the comparison target validity audit script, generated evidence, and manuscript table."
Payload novelty/comparison scorecard,pass,novelty_scorecard_files=5; missing=none.,"Ensure the uploadable archive includes the novelty/comparison scorecard script, generated evidence, and manuscript table."
Payload ROS reproduction-boundary evidence,pass,ros_gap_files=5; missing=none.,"Ensure the uploadable archive includes the ROS reproduction gap audit script, generated evidence, and support table."
Payload schedule-proxy evidence,pass,schedule_proxy_files=8; missing=none.,"Ensure the uploadable archive includes the schedule metrics scripts, compact audit outputs, and manuscript schedule-proxy table."
Payload ultra-scale n=48--64 evidence,pass,ultra_scale64_files=16; missing=none.,"Ensure the uploadable archive includes the n=48--64 raw term-set stress rows, compact audit, and manuscript tables."
Payload search-budget contract evidence,pass,search_budget_files=5; missing=none.,"Ensure the uploadable archive includes the search-budget contract script, generated evidence, and manuscript table."
Payload bit-flip random-prior evidence,pass,bitflip_random_prior_files=9; missing=none.,"Ensure the uploadable archive includes the bit-flip random-prior run script, analysis outputs, raw CSV, and manuscript table."
Payload frontier random-depth evidence,pass,frontier_random_depth_files=5; missing=none.,"Ensure the uploadable archive includes the frontier random-depth analysis script, generated evidence, and manuscript table."
Payload headline numeric evidence,pass,headline_numeric_files=4; missing=none.,Ensure the uploadable archive includes the headline numeric audit script and generated CSV/Markdown/JSON evidence.
Payload citation support evidence,pass,citation_support_files=4; missing=none.,Ensure the uploadable archive includes the citation support audit script and generated CSV/Markdown/JSON evidence.
Payload editorial screening evidence,pass,editorial_screening_files=5; missing=none.,"Ensure the uploadable archive includes the editorial screening audit script, generated evidence, and support table."
Payload target-venue decision evidence,pass,target_venue_decision_files=5; missing=none.,"Ensure the uploadable archive includes the target-venue decision audit script, generated evidence, and support table."
Payload support packet evidence,pass,support_packet_files=5; missing=none.,"Ensure the uploadable archive includes the support packet audit script, generated evidence, and support table."
Payload author-input closure evidence,pass,author_input_closure_files=4; missing=none.,Ensure the uploadable archive includes the author-input closure audit script and generated CSV/Markdown/JSON evidence.
Payload metadata closure-path evidence,pass,metadata_closure_files=4; missing=none.,Ensure the uploadable archive includes the final metadata closure-path audit script and generated evidence.
Payload source/path privacy executable,pass,source_path_privacy_scripts=1; missing=none; terminal_outputs_excluded=3.,Ensure the uploadable archive includes source/path privacy audit code; generated terminal outputs are intentionally excluded and reproduced by the extracted-payload smoke test.
Payload Git-policy executable,pass,payload_git_policy_scripts=1; missing=none; terminal_outputs_excluded=3.,Ensure the uploadable archive includes payload Git-policy audit code; generated terminal outputs are intentionally excluded and regenerated from the source tree.
Payload extraction smoke executable,pass,payload_extraction_smoke_scripts=1; missing=none; terminal_outputs_excluded=3.,Ensure the uploadable archive includes the extraction smoke audit code; generated terminal outputs are intentionally excluded and regenerated from the source tree.
Payload verifier smoke executable,pass,payload_verifier_smoke_scripts=1; missing=none; terminal_outputs_excluded=3.,Ensure the uploadable archive includes the verifier smoke audit code; generated terminal outputs are intentionally excluded and regenerated from the source tree.
Payload deterministic tar metadata,pass,members_checked=979; metadata_issues=none.,Keep tar member mtime/uid/gid/user/group/mode normalized for deterministic payloads.
